date_start,title,lst_keywords,len_keywords,link,extracted
12.08.2020,Back-End Java Developer,"sql,python,java",15,https://www.jobs.bg/5396675,true
11.08.2020,Junior .Net Web Developer,"c,sql,python,php",16,https://www.jobs.bg/5395716,true
11.08.2020,RUBY/RAILS DEVELOPER,"ruby,r,python",13,https://www.jobs.bg/5395032,true
10.08.2020,"Solution Specialist, ZEMA","r,requests,sql,excel,python",27,https://www.jobs.bg/5383399,true
07.08.2020,Java Back-End Developer,"mssql,sql,python,java",21,https://www.jobs.bg/5392374,true
04.08.2020,DEVOPS ENGINEER,"bash,shell,python",17,https://www.jobs.bg/5387780,true
30.07.2020,DevOps Engineer,"bash,python",11,https://www.jobs.bg/5383882,true
30.07.2020,C / C++ Software Engineer,"c,c++,python",12,https://www.jobs.bg/5383052,true
17.08.2020,Full Stack Python Developer,"django,sql,flask,java,sqlalchemy,shell,python",45,https://www.jobs.bg/5401083,true
13.08.2020,Python Developers (Cloud проект),None,4,https://www.jobs.bg/5397854,true
06.08.2020,Python Developer,"perl,etl,java,aws,bash,python",29,https://www.jobs.bg/5390188,true
03.08.2020,Python Developer,python,6,https://www.jobs.bg/5386089,true
28.07.2020,Senior Python Developer,python,6,https://www.jobs.bg/5380469,true
20.08.2020,DevOps Engineer,"azure,basic,aws,bash,python",27,https://www.jobs.bg/5405200,true
20.08.2020,Data Engineer,"azure,airflow,scala,hive,cassandra,hadoop,sql,spark,etl,java,aws,python",71,https://www.jobs.bg/5405192,true
18.08.2020,DevOps Engineer,"azure,basic,aws,bash,python",27,https://www.jobs.bg/5401874,true
18.08.2020,Data Engineer,"azure,airflow,scala,hive,cassandra,hadoop,sql,spark,etl,java,aws,python",71,https://www.jobs.bg/5401870,true
18.08.2020,Mid-Level QA Tester,"selenium,c++,sql,java,python",28,https://www.jobs.bg/5401800,true
14.08.2020,DevOps / Cloud Engineer,"azure,bash,python,java",22,https://www.jobs.bg/5399800,true
14.08.2020,Team/Tech Lead - Java,"python,java",11,https://www.jobs.bg/5398620,true
10.08.2020,Ruby Developer,"ruby,python",11,https://www.jobs.bg/5393264,true
10.08.2020,Senior QA - Automation,"c,selenium,python,java",22,https://www.jobs.bg/5393149,true
06.08.2020,Lead Back-end Engineer,"django,python",13,https://www.jobs.bg/5391062,true
05.08.2020,DevOps Engineer,"azure,perl,sql,aws,bash,python,go",33,https://www.jobs.bg/5389678,true
05.08.2020,Automation QA Engineer,"python,java",11,https://www.jobs.bg/5388753,true
04.08.2020,Machine Learning Engineer,"tensorflow,python,ml,pytorch,nltk,go",36,https://www.jobs.bg/5388431,true
04.08.2020,Senior Machine Learning Engineer,"tensorflow,python,ml,pytorch,nltk,go",36,https://www.jobs.bg/5387317,true
04.08.2020,Senior Java Developer,"sql,java,aws,python,go",22,https://www.jobs.bg/5387316,true
04.08.2020,QA Engineer (manual testing),"python,basic,java,c++,go",24,https://www.jobs.bg/5387319,true
03.08.2020,C Developer,"c,python",8,https://www.jobs.bg/5385931,true
28.07.2020,Back-End PHP Developer,"php,c,sql,java,aws,python,go",28,https://www.jobs.bg/5380161,true
28.07.2020,Senior Back-End PHP Developer,"php,c,sql,java,aws,python,go",28,https://www.jobs.bg/5380160,true
27.07.2020,Full Stack Developer - Team Lead,"c,django,sql,java,python",24,https://www.jobs.bg/5379547,true
27.07.2020,Senior Software Developer,"sql,python,ruby",15,https://www.jobs.bg/5379113,true
20.08.2020,Senior Python Developer,"django,python",13,https://www.jobs.bg/5405383,true
14.08.2020,Junior Python Software Engineer,"c,python",8,https://www.jobs.bg/5398967,true
12.08.2020,Junior Python Developer,"django,sql,python,basic",23,https://www.jobs.bg/5396285,true
03.08.2020,Python 3 developer,python,6,https://www.jobs.bg/5386820,true
30.07.2020,Python Developer,"c,python",8,https://www.jobs.bg/5383196,true
30.07.2020,Python Developer,"python,php",10,https://www.jobs.bg/5382753,true
21.08.2020,Information Security Analyst,"azure,splunk,sql,shell,python",29,https://www.jobs.bg/5405805,true
19.08.2020,Software TEST Engineer,"c,c++,basic,python",18,https://www.jobs.bg/5404012,true
19.08.2020,Junior Quality Assurance/ Tester Specialist (QA),"selenium,requests,sql,java,python",33,https://www.jobs.bg/5403434,true
18.08.2020,DevOps Engineer,"azure,perl,java,aws,bash,python,go",34,https://www.jobs.bg/5403187,true
18.08.2020,DevOps Engineer,"azure,splunk,java,aws,shell,python",34,https://www.jobs.bg/5402718,true
